Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,11.337,gut,471.73134251,413.6185
Donepezil,11.578,blood,0.99564038,1.0
Donepezil,11.578,lung,123.32466904,151.5305
Donepezil,11.578,liver,872.44325292,1129.0157
Donepezil,11.578,kidney,44.56932601,55.5137
Donepezil,11.578,muscle,21.79494085,20.3376
Donepezil,11.578,fat,28.1456242,171080.2988
Donepezil,11.578,brain,757.12530716,3081.7684
Donepezil,11.578,gut,463.62784648,413.6185
Donepezil,11.819,blood,0.98771513,1.0
Donepezil,11.819,lung,122.27089827,151.5305
Donepezil,11.819,liver,872.67986888,1129.0157
Donepezil,11.819,kidney,44.20555657,55.5137
Donepezil,11.819,muscle,21.6880625,20.3376
Donepezil,11.819,fat,28.35145251,171080.2988
Donepezil,11.819,brain,761.30162351,3081.7684
Donepezil,11.819,gut,455.83696863,413.6185
Donepezil,12.06,blood,0.98005358,1.0
Donepezil,12.06,lung,121.25407976,151.5305
Donepezil,12.06,liver,872.84237931,1129.0157
Donepezil,12.06,kidney,43.85396008,55.5137
Donepezil,12.06,muscle,21.58080861,20.3376
Donepezil,12.06,fat,28.55566287,171080.2988
Donepezil,12.06,brain,765.42006875,3081.7684
Donepezil,12.06,gut,448.34580728,413.6185
Donepezil,12.302,blood,0.97263646,1.0
Donepezil,12.302,lung,120.27211347,151.5305
Donepezil,12.302,liver,872.93387237,1129.0157
Donepezil,12.302,kidney,43.51391137,55.5137
Donepezil,12.302,muscle,21.47326415,20.3376
Donepezil,12.302,fat,28.75830792,171080.2988
Donepezil,12.302,brain,769.48233311,3081.7684
Donepezil,12.302,gut,441.14195346,413.6185
Donepezil,12.543,blood,0.9654557,1.0
Donepezil,12.543,lung,119.32307479,151.5305
Donepezil,12.543,liver,872.95728472,1129.0157
Donepezil,12.543,kidney,43.1848173,55.5137
Donepezil,12.543,muscle,21.3655085,20.3376
Donepezil,12.543,fat,28.95943762,171080.2988
Donepezil,12.543,brain,773.49002306,3081.7684
Donepezil,12.543,gut,434.21346363,413.6185
Donepezil,12.784,blood,0.95849894,1.0
Donepezil,12.784,lung,118.40521902,151.5305
Donepezil,12.784,liver,872.91541767,1129.0157
Donepezil,12.784,kidney,42.86614067,55.5137
Donepezil,12.784,muscle,21.257616,20.3376
Donepezil,12.784,fat,29.15909951,171080.2988
Donepezil,12.784,brain,777.44467118,3081.7684
Donepezil,12.784,gut,427.54886292,413.6185
Donepezil,13.025,blood,0.95175205,1.0
Donepezil,13.025,lung,117.51695335,151.5305
Donepezil,13.025,liver,872.81094533,1129.0157
Donepezil,13.025,kidney,42.5573894,55.5137
Donepezil,13.025,muscle,21.14965631,20.3376
Donepezil,13.025,fat,29.35733893,171080.2988
Donepezil,13.025,brain,781.34774082,3081.7684
Donepezil,13.025,gut,421.13713236,413.6185
Donepezil,13.266,blood,0.9452124,1.0
Donepezil,13.266,lung,116.65679049,151.5305
Donepezil,13.266,liver,872.64641771,1129.0157
Donepezil,13.266,kidney,42.25808528,55.5137
Donepezil,13.266,muscle,21.04169453,20.3376
Donepezil,13.266,fat,29.55419903,171080.2988
Donepezil,13.266,brain,785.20062752,3081.7684
Donepezil,13.266,gut,414.9676863,413.6185
Donepezil,13.508,blood,0.93886385,1.0
Donepezil,13.508,lung,115.82338394,151.5305
Donepezil,13.508,liver,872.42427753,1129.0157
Donepezil,13.508,kidney,41.96780953,55.5137
