Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,13.266,brain,7.34335761,0.7628
Lecanemab,13.266,gut,7.85447154,0.8162
Lecanemab,13.508,blood,11.95277884,1.0
Lecanemab,13.508,lung,8.07413127,0.8443
Lecanemab,13.508,liver,7.54816139,0.789
Lecanemab,13.508,kidney,8.35216703,0.8734
Lecanemab,13.508,muscle,8.76443909,0.9034
Lecanemab,13.508,fat,6.47239983,0.6662
Lecanemab,13.508,brain,7.29836678,0.7628
Lecanemab,13.508,gut,7.80634892,0.8162
Lecanemab,13.749,blood,11.8795496,1.0
Lecanemab,13.749,lung,8.02465655,0.8443
Lecanemab,13.749,liver,7.50191562,0.789
Lecanemab,13.749,kidney,8.30099109,0.8734
Lecanemab,13.749,muscle,8.71074177,0.9034
Lecanemab,13.749,fat,6.43274521,0.6662
Lecanemab,13.749,brain,7.25365153,0.7628
Lecanemab,13.749,gut,7.75852086,0.8162
Lecanemab,13.99,blood,11.80676924,1.0
Lecanemab,13.99,lung,7.97548422,0.8443
Lecanemab,13.99,liver,7.45595315,0.789
Lecanemab,13.99,kidney,8.2501282,0.8734
Lecanemab,13.99,muscle,8.65737344,0.9034
Lecanemab,13.99,fat,6.39333354,0.6662
Lecanemab,13.99,brain,7.20921021,0.7628
Lecanemab,13.99,gut,7.71098575,0.8162
Lecanemab,14.231,blood,11.73443495,1.0
Lecanemab,14.231,lung,7.92661263,0.8443
Lecanemab,14.231,liver,7.41027226,0.789
Lecanemab,14.231,kidney,8.19957658,0.8734
Lecanemab,14.231,muscle,8.60433209,0.9034
Lecanemab,14.231,fat,6.35416334,0.6662
Lecanemab,14.231,brain,7.16504117,0.7628
Lecanemab,14.231,gut,7.66374181,0.8162
Lecanemab,14.472,blood,11.66253858,1.0
Lecanemab,14.472,lung,7.878057,0.8443
Lecanemab,14.472,liver,7.36487189,0.789
Lecanemab,14.472,kidney,8.14934575,0.8734
Lecanemab,14.472,muscle,8.55161572,0.9034
Lecanemab,14.472,fat,6.31523314,0.6662
Lecanemab,14.472,brain,7.12114314,0.7628
Lecanemab,14.472,gut,7.61678908,0.8162
Lecanemab,14.714,blood,11.59108411,1.0
Lecanemab,14.714,lung,7.82979439,0.8443
Lecanemab,14.714,liver,7.31974951,0.789
Lecanemab,14.714,kidney,8.09941968,0.8734
Lecanemab,14.714,muscle,8.49922233,0.9034
Lecanemab,14.714,fat,6.27654144,0.6662
Lecanemab,14.714,brain,7.07751396,0.7628
Lecanemab,14.714,gut,7.57012354,0.8162
Lecanemab,14.955,blood,11.52006762,1.0
Lecanemab,14.955,lung,7.78182686,0.8443
Lecanemab,14.955,liver,7.27490356,0.789
Lecanemab,14.955,kidney,8.04979909,0.8734
Lecanemab,14.955,muscle,8.44714993,0.9034
Lecanemab,14.955,fat,6.2380868,0.6662
Lecanemab,14.955,brain,7.03415206,0.7628
Lecanemab,14.955,gut,7.52374384,0.8162
Lecanemab,15.196,blood,11.44948695,1.0
Lecanemab,15.196,lung,7.73415096,0.8443
Lecanemab,15.196,liver,7.23033227,0.789
Lecanemab,15.196,kidney,8.000481,0.8734
Lecanemab,15.196,muscle,8.39539657,0.9034
Lecanemab,15.196,fat,6.19986776,0.6662
Lecanemab,15.196,brain,6.99105577,0.7628
Lecanemab,15.196,gut,7.47764806,0.8162
Lecanemab,15.437,blood,11.3793393,1.0
Lecanemab,15.437,lung,7.6867653,0.8443
Lecanemab,15.437,liver,7.18603399,0.789
Lecanemab,15.437,kidney,7.95146382,0.8734
Lecanemab,15.437,muscle,8.34396028,0.9034
Lecanemab,15.437,fat,6.16188287,0.6662
Lecanemab,15.437,brain,6.94822348,0.7628
Lecanemab,15.437,gut,7.43183449,0.8162
Lecanemab,15.678,blood,11.30962317,1.0
Lecanemab,15.678,lung,7.63966446,0.8443
Lecanemab,15.678,liver,7.14200689,0.789
Lecanemab,15.678,kidney,7.90274327,0.8734
Lecanemab,15.678,muscle,8.29283912,0.9034
Lecanemab,15.678,fat,6.12413071,0.6662
Lecanemab,15.678,brain,6.90565348,0.7628
Lecanemab,15.678,gut,7.38630104,0.8162
Lecanemab,15.92,blood,11.24033538,1.0
Lecanemab,15.92,lung,7.59284841,0.8443
Lecanemab,15.92,liver,7.09824938,0.789
Lecanemab,15.92,kidney,7.85431869,0.8734
Lecanemab,15.92,muscle,8.24203117,0.9034
Lecanemab,15.92,fat,6.08660984,0.6662
Lecanemab,15.92,brain,6.86334419,0.7628
Lecanemab,15.92,gut,7.34104615,0.8162
Lecanemab,16.161,blood,11.17146972,1.0
Lecanemab,16.161,lung,7.54632666,0.8443
Lecanemab,16.161,liver,7.05476026,0.789
Lecanemab,16.161,kidney,7.80619579,0.8734
Lecanemab,16.161,muscle,8.19153451,0.9034
Lecanemab,16.161,fat,6.04931885,0.6662
Lecanemab,16.161,brain,6.82129431,0.7628
Lecanemab,16.161,gut,7.29606932,0.8162
Lecanemab,16.402,blood,11.10302349,1.0
Lecanemab,16.402,lung,7.50009776,0.8443
Lecanemab,16.402,liver,7.0115379,0.789
Lecanemab,16.402,kidney,7.75837297,0.8734
Lecanemab,16.402,muscle,8.14134723,0.9034
Lecanemab,16.402,fat,6.01225634,0.6662
Lecanemab,16.402,brain,6.77950225,0.7628
Lecanemab,16.402,gut,7.25136888,0.8162
Lecanemab,16.643,blood,11.0349954,1.0
Lecanemab,16.643,lung,7.45415589,0.8443
